source_sequence,source_food_code,source_food_name,ifct_group_code,ifct_group_name,regions_count
1,A001,"Amaranth seed, black (Amaranthus cruentus)",A,CEREALS AND MILLETS,1
2,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",A,CEREALS AND MILLETS,6
3,A003,Bajra (Pennisetum typhoideum),A,CEREALS AND MILLETS,6
4,A004,Barley (Hordeum vulgare),A,CEREALS AND MILLETS,6
5,A005,Jowar (Sorghum vulgare),A,CEREALS AND MILLETS,6
6,A006,"Maize, dry (Zea mays)",A,CEREALS AND MILLETS,6
7,A007,"Maize, tender, local (Zea mays)",A,CEREALS AND MILLETS,6
8,A008,"Maize, tender, sweet (Zea mays)",A,CEREALS AND MILLETS,4
9,A009,Quinoa (Chenopodium quinoa),A,CEREALS AND MILLETS,1
10,A010,Ragi (Eleusine coracana),A,CEREALS AND MILLETS,5
11,A011,Rice flakes (Oryza sativa ),A,CEREALS AND MILLETS,6
12,A012,Rice puffed (Oryza sativa ),A,CEREALS AND MILLETS,6
13,A013,"Rice, raw, brown (Oryza sativa )",A,CEREALS AND MILLETS,6
14,A014,"Rice, parboiled, milled (Oryza sativa )",A,CEREALS AND MILLETS,6
15,A015,"Rice, raw, milled (Oryza sativa )",A,CEREALS AND MILLETS,6
16,A016,Samai (Panicum miliare),A,CEREALS AND MILLETS,6
17,A017,Varagu (Paspalum scrobiculatum),A,CEREALS AND MILLETS,5
18,A018,"Wheat flour, refined (Triticum aestivum)",A,CEREALS AND MILLETS,6
19,A019,"Wheat flour, atta (Triticum aestivum)",A,CEREALS AND MILLETS,6
20,A020,"Wheat, whole (Triticum aestivum)",A,CEREALS AND MILLETS,6
21,A021,"Wheat, bulgur (Triticum aestivum)",A,CEREALS AND MILLETS,6
22,A022,"Wheat, semolina (Triticum aestivum)",A,CEREALS AND MILLETS,6
23,A023,"Wheat, vermicelli (Triticum aestivum)",A,CEREALS AND MILLETS,6
24,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",A,CEREALS AND MILLETS,6
25,B001,"Bengal gram, dal (Cicer arietinum)",B,GRAIN LEGUMES,6
26,B002,"Bengal gram, whole (Cicer arietinum)",B,GRAIN LEGUMES,6
27,B003,"Black gram, dal (Phaseolus mungo)",B,GRAIN LEGUMES,6
28,B004,"Black gram, whole (Phaseolus mungo)",B,GRAIN LEGUMES,6
29,B005,"Cowpea, brown (Vigna catjang)",B,GRAIN LEGUMES,6
30,B006,"Cowpea, white (Vigna catjang)",B,GRAIN LEGUMES,1
31,B007,"Field bean, black (Phaseolus vulgaris)",B,GRAIN LEGUMES,1
32,B008,"Field bean, brown (Phaseolus vulgaris)",B,GRAIN LEGUMES,1
