source_food_code,source_food_name,regions_count,f4d0_butyric,f6d0_caproic,f8d0_caprylic,f10d0_capric,f12d0_lauric,f14d0_myristic,f16d0_palmitic,f18d0_stearic,f20d0_arachidic,f22d0_behenic,f24d0_lignoceric
T001,Coconut oil,6,,2.0,76.0,18.0,9.57,12.0,26.0,97.0,,,
T002,Corn oil,1,,,,,,,12.94,2.12,0.68,0.39,0.47
T003,Cotton seed oil,1,,,,,,0.91,23.4,2.79,0.42,0.34,0.31
T004,Gingelly oil,6,,,,,,9.0,34.0,75.0,67.0,25.0,22.0
T005,Groundnut oil,5,,,,,,10.0,27.0,38.0,39.0,66.0,25.0
T006,Mustard oil,6,,,,,,2.0,18.0,17.0,98.0,39.0,
T007,Palm oil,4,,,,,,39.0,79.0,24.0,,,
T008,Rice bran oil,5,,,,,0.0,29.0,51.0,3.0,3.0,33.0,51.0
T009,Safflower oil,3,,,,,0.0,18.0,24.0,35.0,26.0,17.0,
T010,Safflower oil (blended),4,,,,,,15.0,71.0,28.0,83.0,31.0,40.0
T011,Soyabean oil,6,,,,,,11.0,51.0,8.0,37.0,,
T012,Sunflower oil,6,,,,,,6.0,43.0,69.0,32.0,66.0,29.0
T013,Ghee,6,22.0,30.0,47.0,87.0,81.0,81.0,13.0,89.0,52.0,,
T014,Vanaspati,6,,,,0.0,37.0,19.0,10.0,98.0,81.0,,
