source_food_code,source_food_name,regions_count,water,protein,ash,fat,fibre,fibre_insoluble,fibre_soluble,carbohydrate,energy_kj
A001,"Amaranth seed, black (Amaranthus cruentus)",1,9.89,14.59,2.78,5.74,7.02,5.76,1.26,59.98,1490.0
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,9.2,13.27,3.05,5.56,7.47,5.8,1.67,61.46,1489.0
A003,Bajra (Pennisetum typhoideum),6,8.97,10.96,1.37,5.43,11.49,9.14,2.34,61.78,1456.0
A004,Barley (Hordeum vulgare),6,9.77,10.94,1.06,1.3,15.64,9.98,5.66,61.29,1321.0
A005,Jowar (Sorghum vulgare),6,9.01,9.97,1.39,1.73,10.22,8.49,1.73,67.68,1398.0
A006,"Maize, dry (Zea mays)",6,9.26,8.8,1.17,3.77,12.24,11.29,0.94,64.77,1398.0
A007,"Maize, tender, local (Zea mays)",6,68.29,3.57,0.38,1.4,3.67,3.23,0.43,22.69,502.0
A008,"Maize, tender, sweet (Zea mays)",4,74.4,4.16,0.36,1.35,3.3,2.71,0.59,16.42,405.0
A009,Quinoa (Chenopodium quinoa),1,10.43,13.11,2.65,5.5,14.66,10.21,4.46,53.65,1374.0
A010,Ragi (Eleusine coracana),5,10.89,7.16,2.04,1.92,11.18,9.51,1.67,66.82,1342.0
A011,Rice flakes (Oryza sativa ),6,10.36,7.44,0.85,1.14,3.46,2.65,0.81,76.75,1480.0
A012,Rice puffed (Oryza sativa ),6,9.4,7.47,1.28,1.62,2.56,1.76,0.8,77.68,1514.0
A013,"Rice, raw, brown (Oryza sativa )",6,9.33,9.16,1.04,1.24,4.43,3.6,0.82,74.8,1480.0
A014,"Rice, parboiled, milled (Oryza sativa )",6,10.09,7.81,0.65,0.55,3.74,2.98,0.76,77.16,1471.0
A015,"Rice, raw, milled (Oryza sativa )",6,9.93,7.94,0.56,0.52,2.81,1.99,0.82,78.24,1491.0
A016,Samai (Panicum miliare),6,11.36,10.13,1.34,3.89,7.72,5.45,2.27,65.55,1449.0
A017,Varagu (Paspalum scrobiculatum),5,14.23,8.92,1.72,2.55,6.39,4.29,2.11,66.19,1388.0
A018,"Wheat flour, refined (Triticum aestivum)",6,11.34,10.36,0.51,0.76,2.76,2.14,0.62,74.27,1472.0
